"feature_id" "feature_name" "feature_name_clean"
"67" 67 "tGravityAcc-arCoeff()-X,2" "tGravityAccarCoeffX2"
"68" 68 "tGravityAcc-arCoeff()-X,3" "tGravityAccarCoeffX3"
"69" 69 "tGravityAcc-arCoeff()-X,4" "tGravityAccarCoeffX4"
"70" 70 "tGravityAcc-arCoeff()-Y,1" "tGravityAccarCoeffY1"
"71" 71 "tGravityAcc-arCoeff()-Y,2" "tGravityAccarCoeffY2"
"72" 72 "tGravityAcc-arCoeff()-Y,3" "tGravityAccarCoeffY3"
"73" 73 "tGravityAcc-arCoeff()-Y,4" "tGravityAccarCoeffY4"
"74" 74 "tGravityAcc-arCoeff()-Z,1" "tGravityAccarCoeffZ1"
"75" 75 "tGravityAcc-arCoeff()-Z,2" "tGravityAccarCoeffZ2"
"76" 76 "tGravityAcc-arCoeff()-Z,3" "tGravityAccarCoeffZ3"
"77" 77 "tGravityAcc-arCoeff()-Z,4" "tGravityAccarCoeffZ4"
"78" 78 "tGravityAcc-correlation()-X,Y" "tGravityAcccorrelationXY"
"79" 79 "tGravityAcc-correlation()-X,Z" "tGravityAcccorrelationXZ"
"80" 80 "tGravityAcc-correlation()-Y,Z" "tGravityAcccorrelationYZ"
"81" 81 "tBodyAccJerk-mean()-X" "tBodyAccJerkmeanX"
"82" 82 "tBodyAccJerk-mean()-Y" "tBodyAccJerkmeanY"
"83" 83 "tBodyAccJerk-mean()-Z" "tBodyAccJerkmeanZ"
"84" 84 "tBodyAccJerk-std()-X" "tBodyAccJerkstdX"
"85" 85 "tBodyAccJerk-std()-Y" "tBodyAccJerkstdY"
"86" 86 "tBodyAccJerk-std()-Z" "tBodyAccJerkstdZ"
"87" 87 "tBodyAccJerk-mad()-X" "tBodyAccJerkmadX"
"88" 88 "tBodyAccJerk-mad()-Y" "tBodyAccJerkmadY"
"89" 89 "tBodyAccJerk-mad()-Z" "tBodyAccJerkmadZ"
"90" 90 "tBodyAccJerk-max()-X" "tBodyAccJerkmaxX"
"91" 91 "tBodyAccJerk-max()-Y" "tBodyAccJerkmaxY"
"92" 92 "tBodyAccJerk-max()-Z" "tBodyAccJerkmaxZ"
"93" 93 "tBodyAccJerk-min()-X" "tBodyAccJerkminX"
"94" 94 "tBodyAccJerk-min()-Y" "tBodyAccJerkminY"
"95" 95 "tBodyAccJerk-min()-Z" "tBodyAccJerkminZ"
"96" 96 "tBodyAccJerk-sma()" "tBodyAccJerksma"
"97" 97 "tBodyAccJerk-energy()-X" "tBodyAccJerkenergyX"
"98" 98 "tBodyAccJerk-energy()-Y" "tBodyAccJerkenergyY"
"99" 99 "tBodyAccJerk-energy()-Z" "tBodyAccJerkenergyZ"
"100" 100 "tBodyAccJerk-iqr()-X" "tBodyAccJerkiqrX"
"101" 101 "tBodyAccJerk-iqr()-Y" "tBodyAccJerkiqrY"
"102" 102 "tBodyAccJerk-iqr()-Z" "tBodyAccJerkiqrZ"
"103" 103 "tBodyAccJerk-entropy()-X" "tBodyAccJerkentropyX"
"104" 104 "tBodyAccJerk-entropy()-Y" "tBodyAccJerkentropyY"
"105" 105 "tBodyAccJerk-entropy()-Z" "tBodyAccJerkentropyZ"
"106" 106 "tBodyAccJerk-arCoeff()-X,1" "tBodyAccJerkarCoeffX1"
"107" 107 "tBodyAccJerk-arCoeff()-X,2" "tBodyAccJerkarCoeffX2"
"108" 108 "tBodyAccJerk-arCoeff()-X,3" "tBodyAccJerkarCoeffX3"
"109" 109 "tBodyAccJerk-arCoeff()-X,4" "tBodyAccJerkarCoeffX4"
"110" 110 "tBodyAccJerk-arCoeff()-Y,1" "tBodyAccJerkarCoeffY1"
"111" 111 "tBodyAccJerk-arCoeff()-Y,2" "tBodyAccJerkarCoeffY2"
"112" 112 "tBodyAccJerk-arCoeff()-Y,3" "tBodyAccJerkarCoeffY3"
"113" 113 "tBodyAccJerk-arCoeff()-Y,4" "tBodyAccJerkarCoeffY4"
"114" 114 "tBodyAccJerk-arCoeff()-Z,1" "tBodyAccJerkarCoeffZ1"
"115" 115 "tBodyAccJerk-arCoeff()-Z,2" "tBodyAccJerkarCoeffZ2"
"116" 116 "tBodyAccJerk-arCoeff()-Z,3" "tBodyAccJerkarCoeffZ3"
"117" 117 "tBodyAccJerk-arCoeff()-Z,4" "tBodyAccJerkarCoeffZ4"
"118" 118 "tBodyAccJerk-correlation()-X,Y" "tBodyAccJerkcorrelationXY"
"119" 119 "tBodyAccJerk-correlation()-X,Z" "tBodyAccJerkcorrelationXZ"
"120" 120 "tBodyAccJerk-correlation()-Y,Z" "tBodyAccJerkcorrelationYZ"
"121" 121 "tBodyGyro-mean()-X" "tBodyGyromeanX"
"122" 122 "tBodyGyro-mean()-Y" "tBodyGyromeanY"
"123" 123 "tBodyGyro-mean()-Z" "tBodyGyromeanZ"
"124" 124 "tBodyGyro-std()-X" "tBodyGyrostdX"
"125" 125 "tBodyGyro-std()-Y" "tBodyGyrostdY"
"126" 126 "tBodyGyro-std()-Z" "tBodyGyrostdZ"
"127" 127 "tBodyGyro-mad()-X" "tBodyGyromadX"
"128" 128 "tBodyGyro-mad()-Y" "tBodyGyromadY"
"129" 129 "tBodyGyro-mad()-Z" "tBodyGyromadZ"
"130" 130 "tBodyGyro-max()-X" "tBodyGyromaxX"
"131" 131 "tBodyGyro-max()-Y" "tBodyGyromaxY"
"132" 132 "tBodyGyro-max()-Z" "tBodyGyromaxZ"
"133" 133 "tBodyGyro-min()-X" "tBodyGyrominX"
"134" 134 "tBodyGyro-min()-Y" "tBodyGyrominY"
"135" 135 "tBodyGyro-min()-Z" "tBodyGyrominZ"
"136" 136 "tBodyGyro-sma()" "tBodyGyrosma"
"137" 137 "tBodyGyro-energy()-X" "tBodyGyroenergyX"
"138" 138 "tBodyGyro-energy()-Y" "tBodyGyroenergyY"
"139" 139 "tBodyGyro-energy()-Z" "tBodyGyroenergyZ"
"140" 140 "tBodyGyro-iqr()-X" "tBodyGyroiqrX"
"141" 141 "tBodyGyro-iqr()-Y" "tBodyGyroiqrY"
"142" 142 "tBodyGyro-iqr()-Z" "tBodyGyroiqrZ"
"143" 143 "tBodyGyro-entropy()-X" "tBodyGyroentropyX"
"144" 144 "tBodyGyro-entropy()-Y" "tBodyGyroentropyY"
"145" 145 "tBodyGyro-entropy()-Z" "tBodyGyroentropyZ"
"146" 146 "tBodyGyro-arCoeff()-X,1" "tBodyGyroarCoeffX1"
"147" 147 "tBodyGyro-arCoeff()-X,2" "tBodyGyroarCoeffX2"
"148" 148 "tBodyGyro-arCoeff()-X,3" "tBodyGyroarCoeffX3"
"149" 149 "tBodyGyro-arCoeff()-X,4" "tBodyGyroarCoeffX4"
"150" 150 "tBodyGyro-arCoeff()-Y,1" "tBodyGyroarCoeffY1"
"151" 151 "tBodyGyro-arCoeff()-Y,2" "tBodyGyroarCoeffY2"
"152" 152 "tBodyGyro-arCoeff()-Y,3" "tBodyGyroarCoeffY3"
"153" 153 "tBodyGyro-arCoeff()-Y,4" "tBodyGyroarCoeffY4"
"154" 154 "tBodyGyro-arCoeff()-Z,1" "tBodyGyroarCoeffZ1"
"155" 155 "tBodyGyro-arCoeff()-Z,2" "tBodyGyroarCoeffZ2"
"156" 156 "tBodyGyro-arCoeff()-Z,3" "tBodyGyroarCoeffZ3"
"157" 157 "tBodyGyro-arCoeff()-Z,4" "tBodyGyroarCoeffZ4"
"158" 158 "tBodyGyro-correlation()-X,Y" "tBodyGyrocorrelationXY"
"159" 159 "tBodyGyro-correlation()-X,Z" "tBodyGyrocorrelationXZ"
"160" 160 "tBodyGyro-correlation()-Y,Z" "tBodyGyrocorrelationYZ"
"161" 161 "tBodyGyroJerk-mean()-X" "tBodyGyroJerkmeanX"
"162" 162 "tBodyGyroJerk-mean()-Y" "tBodyGyroJerkmeanY"
"163" 163 "tBodyGyroJerk-mean()-Z" "tBodyGyroJerkmeanZ"
"164" 164 "tBodyGyroJerk-std()-X" "tBodyGyroJerkstdX"
"165" 165 "tBodyGyroJerk-std()-Y" "tBodyGyroJerkstdY"
"166" 166 "tBodyGyroJerk-std()-Z" "tBodyGyroJerkstdZ"
"167" 167 "tBodyGyroJerk-mad()-X" "tBodyGyroJerkmadX"
"168" 168 "tBodyGyroJerk-mad()-Y" "tBodyGyroJerkmadY"
"169" 169 "tBodyGyroJerk-mad()-Z" "tBodyGyroJerkmadZ"
"170" 170 "tBodyGyroJerk-max()-X" "tBodyGyroJerkmaxX"
"171" 171 "tBodyGyroJerk-max()-Y" "tBodyGyroJerkmaxY"
"172" 172 "tBodyGyroJerk-max()-Z" "tBodyGyroJerkmaxZ"
"173" 173 "tBodyGyroJerk-min()-X" "tBodyGyroJerkminX"
"174" 174 "tBodyGyroJerk-min()-Y" "tBodyGyroJerkminY"
"175" 175 "tBodyGyroJerk-min()-Z" "tBodyGyroJerkminZ"
"176" 176 "tBodyGyroJerk-sma()" "tBodyGyroJerksma"
"177" 177 "tBodyGyroJerk-energy()-X" "tBodyGyroJerkenergyX"
"178" 178 "tBodyGyroJerk-energy()-Y" "tBodyGyroJerkenergyY"
"179" 179 "tBodyGyroJerk-energy()-Z" "tBodyGyroJerkenergyZ"
"180" 180 "tBodyGyroJerk-iqr()-X" "tBodyGyroJerkiqrX"
"181" 181 "tBodyGyroJerk-iqr()-Y" "tBodyGyroJerkiqrY"
"182" 182 "tBodyGyroJerk-iqr()-Z" "tBodyGyroJerkiqrZ"
"183" 183 "tBodyGyroJerk-entropy()-X" "tBodyGyroJerkentropyX"
"184" 184 "tBodyGyroJerk-entropy()-Y" "tBodyGyroJerkentropyY"
"185" 185 "tBodyGyroJerk-entropy()-Z" "tBodyGyroJerkentropyZ"
"186" 186 "tBodyGyroJerk-arCoeff()-X,1" "tBodyGyroJerkarCoeffX1"
"187" 187 "tBodyGyroJerk-arCoeff()-X,2" "tBodyGyroJerkarCoeffX2"
"188" 188 "tBodyGyroJerk-arCoeff()-X,3" "tBodyGyroJerkarCoeffX3"
"189" 189 "tBodyGyroJerk-arCoeff()-X,4" "tBodyGyroJerkarCoeffX4"
"190" 190 "tBodyGyroJerk-arCoeff()-Y,1" "tBodyGyroJerkarCoeffY1"
"191" 191 "tBodyGyroJerk-arCoeff()-Y,2" "tBodyGyroJerkarCoeffY2"
"192" 192 "tBodyGyroJerk-arCoeff()-Y,3" "tBodyGyroJerkarCoeffY3"
"193" 193 "tBodyGyroJerk-arCoeff()-Y,4" "tBodyGyroJerkarCoeffY4"
"194" 194 "tBodyGyroJerk-arCoeff()-Z,1" "tBodyGyroJerkarCoeffZ1"
"195" 195 "tBodyGyroJerk-arCoeff()-Z,2" "tBodyGyroJerkarCoeffZ2"
"196" 196 "tBodyGyroJerk-arCoeff()-Z,3" "tBodyGyroJerkarCoeffZ3"
"197" 197 "tBodyGyroJerk-arCoeff()-Z,4" "tBodyGyroJerkarCoeffZ4"
"198" 198 "tBodyGyroJerk-correlation()-X,Y" "tBodyGyroJerkcorrelationXY"
"199" 199 "tBodyGyroJerk-correlation()-X,Z" "tBodyGyroJerkcorrelationXZ"
"200" 200 "tBodyGyroJerk-correlation()-Y,Z" "tBodyGyroJerkcorrelationYZ"
"201" 201 "tBodyAccMag-mean()" "tBodyAccMagmean"
"202" 202 "tBodyAccMag-std()" "tBodyAccMagstd"
"203" 203 "tBodyAccMag-mad()" "tBodyAccMagmad"
"204" 204 "tBodyAccMag-max()" "tBodyAccMagmax"
"205" 205 "tBodyAccMag-min()" "tBodyAccMagmin"
"206" 206 "tBodyAccMag-sma()" "tBodyAccMagsma"
"207" 207 "tBodyAccMag-energy()" "tBodyAccMagenergy"
"208" 208 "tBodyAccMag-iqr()" "tBodyAccMagiqr"
"209" 209 "tBodyAccMag-entropy()" "tBodyAccMagentropy"
"210" 210 "tBodyAccMag-arCoeff()1" "tBodyAccMagarCoeff1"
"211" 211 "tBodyAccMag-arCoeff()2" "tBodyAccMagarCoeff2"
"212" 212 "tBodyAccMag-arCoeff()3" "tBodyAccMagarCoeff3"
"213" 213 "tBodyAccMag-arCoeff()4" "tBodyAccMagarCoeff4"
"214" 214 "tGravityAccMag-mean()" "tGravityAccMagmean"
"215" 215 "tGravityAccMag-std()" "tGravityAccMagstd"
"216" 216 "tGravityAccMag-mad()" "tGravityAccMagmad"
"217" 217 "tGravityAccMag-max()" "tGravityAccMagmax"
"218" 218 "tGravityAccMag-min()" "tGravityAccMagmin"
"219" 219 "tGravityAccMag-sma()" "tGravityAccMagsma"
"220" 220 "tGravityAccMag-energy()" "tGravityAccMagenergy"
"221" 221 "tGravityAccMag-iqr()" "tGravityAccMagiqr"
"222" 222 "tGravityAccMag-entropy()" "tGravityAccMagentropy"
"223" 223 "tGravityAccMag-arCoeff()1" "tGravityAccMagarCoeff1"
"224" 224 "tGravityAccMag-arCoeff()2" "tGravityAccMagarCoeff2"
"225" 225 "tGravityAccMag-arCoeff()3" "tGravityAccMagarCoeff3"
"226" 226 "tGravityAccMag-arCoeff()4" "tGravityAccMagarCoeff4"
"227" 227 "tBodyAccJerkMag-mean()" "tBodyAccJerkMagmean"
"228" 228 "tBodyAccJerkMag-std()" "tBodyAccJerkMagstd"
"229" 229 "tBodyAccJerkMag-mad()" "tBodyAccJerkMagmad"
"230" 230 "tBodyAccJerkMag-max()" "tBodyAccJerkMagmax"
"231" 231 "tBodyAccJerkMag-min()" "tBodyAccJerkMagmin"
"232" 232 "tBodyAccJerkMag-sma()" "tBodyAccJerkMagsma"
"233" 233 "tBodyAccJerkMag-energy()" "tBodyAccJerkMagenergy"
"234" 234 "tBodyAccJerkMag-iqr()" "tBodyAccJerkMagiqr"
"235" 235 "tBodyAccJerkMag-entropy()" "tBodyAccJerkMagentropy"
"236" 236 "tBodyAccJerkMag-arCoeff()1" "tBodyAccJerkMagarCoeff1"
"237" 237 "tBodyAccJerkMag-arCoeff()2" "tBodyAccJerkMagarCoeff2"
"238" 238 "tBodyAccJerkMag-arCoeff()3" "tBodyAccJerkMagarCoeff3"
"239" 239 "tBodyAccJerkMag-arCoeff()4" "tBodyAccJerkMagarCoeff4"
"240" 240 "tBodyGyroMag-mean()" "tBodyGyroMagmean"
"241" 241 "tBodyGyroMag-std()" "tBodyGyroMagstd"
"242" 242 "tBodyGyroMag-mad()" "tBodyGyroMagmad"
"243" 243 "tBodyGyroMag-max()" "tBodyGyroMagmax"
"244" 244 "tBodyGyroMag-min()" "tBodyGyroMagmin"
"245" 245 "tBodyGyroMag-sma()" "tBodyGyroMagsma"
"246" 246 "tBodyGyroMag-energy()" "tBodyGyroMagenergy"
"247" 247 "tBodyGyroMag-iqr()" "tBodyGyroMagiqr"
"248" 248 "tBodyGyroMag-entropy()" "tBodyGyroMagentropy"
"249" 249 "tBodyGyroMag-arCoeff()1" "tBodyGyroMagarCoeff1"
"250" 250 "tBodyGyroMag-arCoeff()2" "tBodyGyroMagarCoeff2"
"251" 251 "tBodyGyroMag-arCoeff()3" "tBodyGyroMagarCoeff3"
"252" 252 "tBodyGyroMag-arCoeff()4" "tBodyGyroMagarCoeff4"
"253" 253 "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMagmean"
"254" 254 "tBodyGyroJerkMag-std()" "tBodyGyroJerkMagstd"
"255" 255 "tBodyGyroJerkMag-mad()" "tBodyGyroJerkMagmad"
"256" 256 "tBodyGyroJerkMag-max()" "tBodyGyroJerkMagmax"
"257" 257 "tBodyGyroJerkMag-min()" "tBodyGyroJerkMagmin"
"258" 258 "tBodyGyroJerkMag-sma()" "tBodyGyroJerkMagsma"
"259" 259 "tBodyGyroJerkMag-energy()" "tBodyGyroJerkMagenergy"
"260" 260 "tBodyGyroJerkMag-iqr()" "tBodyGyroJerkMagiqr"
"261" 261 "tBodyGyroJerkMag-entropy()" "tBodyGyroJerkMagentropy"
"262" 262 "tBodyGyroJerkMag-arCoeff()1" "tBodyGyroJerkMagarCoeff1"
"263" 263 "tBodyGyroJerkMag-arCoeff()2" "tBodyGyroJerkMagarCoeff2"
"264" 264 "tBodyGyroJerkMag-arCoeff()3" "tBodyGyroJerkMagarCoeff3"
"265" 265 "tBodyGyroJerkMag-arCoeff()4" "tBodyGyroJerkMagarCoeff4"
"266" 266 "fBodyAcc-mean()-X" "fBodyAccmeanX"
"267" 267 "fBodyAcc-mean()-Y" "fBodyAccmeanY"
"268" 268 "fBodyAcc-mean()-Z" "fBodyAccmeanZ"
"269" 269 "fBodyAcc-std()-X" "fBodyAccstdX"
"270" 270 "fBodyAcc-std()-Y" "fBodyAccstdY"
"271" 271 "fBodyAcc-std()-Z" "fBodyAccstdZ"
"272" 272 "fBodyAcc-mad()-X" "fBodyAccmadX"
"273" 273 "fBodyAcc-mad()-Y" "fBodyAccmadY"
"274" 274 "fBodyAcc-mad()-Z" "fBodyAccmadZ"
"275" 275 "fBodyAcc-max()-X" "fBodyAccmaxX"
"276" 276 "fBodyAcc-max()-Y" "fBodyAccmaxY"
"277" 277 "fBodyAcc-max()-Z" "fBodyAccmaxZ"
"278" 278 "fBodyAcc-min()-X" "fBodyAccminX"
"279" 279 "fBodyAcc-min()-Y" "fBodyAccminY"
"280" 280 "fBodyAcc-min()-Z" "fBodyAccminZ"
"281" 281 "fBodyAcc-sma()" "fBodyAccsma"
"282" 282 "fBodyAcc-energy()-X" "fBodyAccenergyX"
"283" 283 "fBodyAcc-energy()-Y" "fBodyAccenergyY"
"284" 284 "fBodyAcc-energy()-Z" "fBodyAccenergyZ"
"285" 285 "fBodyAcc-iqr()-X" "fBodyAcciqrX"
"286" 286 "fBodyAcc-iqr()-Y" "fBodyAcciqrY"
"287" 287 "fBodyAcc-iqr()-Z" "fBodyAcciqrZ"
"288" 288 "fBodyAcc-entropy()-X" "fBodyAccentropyX"
"289" 289 "fBodyAcc-entropy()-Y" "fBodyAccentropyY"
"290" 290 "fBodyAcc-entropy()-Z" "fBodyAccentropyZ"
"291" 291 "fBodyAcc-maxInds-X" "fBodyAccmaxIndsX"
"292" 292 "fBodyAcc-maxInds-Y" "fBodyAccmaxIndsY"
"293" 293 "fBodyAcc-maxInds-Z" "fBodyAccmaxIndsZ"
"294" 294 "fBodyAcc-meanFreq()-X" "fBodyAccmeanFreqX"
"295" 295 "fBodyAcc-meanFreq()-Y" "fBodyAccmeanFreqY"
"296" 296 "fBodyAcc-meanFreq()-Z" "fBodyAccmeanFreqZ"
"297" 297 "fBodyAcc-skewness()-X" "fBodyAccskewnessX"
"298" 298 "fBodyAcc-kurtosis()-X" "fBodyAcckurtosisX"
"299" 299 "fBodyAcc-skewness()-Y" "fBodyAccskewnessY"
"300" 300 "fBodyAcc-kurtosis()-Y" "fBodyAcckurtosisY"
"301" 301 "fBodyAcc-skewness()-Z" "fBodyAccskewnessZ"
"302" 302 "fBodyAcc-kurtosis()-Z" "fBodyAcckurtosisZ"
"303" 303 "fBodyAcc-bandsEnergy()-1,8" "fBodyAccbandsEnergy18"
"304" 304 "fBodyAcc-bandsEnergy()-9,16" "fBodyAccbandsEnergy916"
"305" 305 "fBodyAcc-bandsEnergy()-17,24" "fBodyAccbandsEnergy1724"
"306" 306 "fBodyAcc-bandsEnergy()-25,32" "fBodyAccbandsEnergy2532"
"307" 307 "fBodyAcc-bandsEnergy()-33,40" "fBodyAccbandsEnergy3340"
"308" 308 "fBodyAcc-bandsEnergy()-41,48" "fBodyAccbandsEnergy4148"
"309" 309 "fBodyAcc-bandsEnergy()-49,56" "fBodyAccbandsEnergy4956"
"310" 310 "fBodyAcc-bandsEnergy()-57,64" "fBodyAccbandsEnergy5764"
"311" 311 "fBodyAcc-bandsEnergy()-1,16" "fBodyAccbandsEnergy116"
"312" 312 "fBodyAcc-bandsEnergy()-17,32" "fBodyAccbandsEnergy1732"
"313" 313 "fBodyAcc-bandsEnergy()-33,48" "fBodyAccbandsEnergy3348"
"314" 314 "fBodyAcc-bandsEnergy()-49,64" "fBodyAccbandsEnergy4964"
"315" 315 "fBodyAcc-bandsEnergy()-1,24" "fBodyAccbandsEnergy124"
"316" 316 "fBodyAcc-bandsEnergy()-25,48" "fBodyAccbandsEnergy2548"
"317" 317 "fBodyAcc-bandsEnergy()-1,8" "fBodyAccbandsEnergy18"
"318" 318 "fBodyAcc-bandsEnergy()-9,16" "fBodyAccbandsEnergy916"
"319" 319 "fBodyAcc-bandsEnergy()-17,24" "fBodyAccbandsEnergy1724"
"320" 320 "fBodyAcc-bandsEnergy()-25,32" "fBodyAccbandsEnergy2532"
"321" 321 "fBodyAcc-bandsEnergy()-33,40" "fBodyAccbandsEnergy3340"
"322" 322 "fBodyAcc-bandsEnergy()-41,48" "fBodyAccbandsEnergy4148"
"323" 323 "fBodyAcc-bandsEnergy()-49,56" "fBodyAccbandsEnergy4956"
"324" 324 "fBodyAcc-bandsEnergy()-57,64" "fBodyAccbandsEnergy5764"
"325" 325 "fBodyAcc-bandsEnergy()-1,16" "fBodyAccbandsEnergy116"
"326" 326 "fBodyAcc-bandsEnergy()-17,32" "fBodyAccbandsEnergy1732"
"327" 327 "fBodyAcc-bandsEnergy()-33,48" "fBodyAccbandsEnergy3348"
"328" 328 "fBodyAcc-bandsEnergy()-49,64" "fBodyAccbandsEnergy4964"
"329" 329 "fBodyAcc-bandsEnergy()-1,24" "fBodyAccbandsEnergy124"
"330" 330 "fBodyAcc-bandsEnergy()-25,48" "fBodyAccbandsEnergy2548"
"331" 331 "fBodyAcc-bandsEnergy()-1,8" "fBodyAccbandsEnergy18"
"332" 332 "fBodyAcc-bandsEnergy()-9,16" "fBodyAccbandsEnergy916"
"333" 333 "fBodyAcc-bandsEnergy()-17,24" "fBodyAccbandsEnergy1724"
"334" 334 "fBodyAcc-bandsEnergy()-25,32" "fBodyAccbandsEnergy2532"
"335" 335 "fBodyAcc-bandsEnergy()-33,40" "fBodyAccbandsEnergy3340"
"336" 336 "fBodyAcc-bandsEnergy()-41,48" "fBodyAccbandsEnergy4148"
"337" 337 "fBodyAcc-bandsEnergy()-49,56" "fBodyAccbandsEnergy4956"
"338" 338 "fBodyAcc-bandsEnergy()-57,64" "fBodyAccbandsEnergy5764"
"339" 339 "fBodyAcc-bandsEnergy()-1,16" "fBodyAccbandsEnergy116"
"340" 340 "fBodyAcc-bandsEnergy()-17,32" "fBodyAccbandsEnergy1732"
"341" 341 "fBodyAcc-bandsEnergy()-33,48" "fBodyAccbandsEnergy3348"
"342" 342 "fBodyAcc-bandsEnergy()-49,64" "fBodyAccbandsEnergy4964"
"343" 343 "fBodyAcc-bandsEnergy()-1,24" "fBodyAccbandsEnergy124"
"344" 344 "fBodyAcc-bandsEnergy()-25,48" "fBodyAccbandsEnergy2548"
"345" 345 "fBodyAccJerk-mean()-X" "fBodyAccJerkmeanX"
"346" 346 "fBodyAccJerk-mean()-Y" "fBodyAccJerkmeanY"
"347" 347 "fBodyAccJerk-mean()-Z" "fBodyAccJerkmeanZ"
"348" 348 "fBodyAccJerk-std()-X" "fBodyAccJerkstdX"
